Name,Name clean,Name clean Global,GCAP ID,Website,LEI (if applicable),Country of HQ,UN Region,Parent company (if applicable),Annual Revenue in USD (if applicable),Type,Sector (if applicable),Assets Under Mgt. (if financial institution),Join Date (DD/MM/YYYY),Where did they publish in 2022?,Where did they publish in 2023?,Partner comment,Partner comment (Sep-24),Update round,Business Declares,Cities Race to Zero,Climate Action Accelerator,Exponential Roadmap Iniative,Fashion Industry Charter for Climate Action,Health Care without Harm,International Wineries for Climate Action (IWCA),Japan Climate Initiative (JCI),National Parks UK,Net Zero Asset Managers Initiative,Net Zero Banking Alliance,Net Zero Investment Consultants (NZIC),Net-Zero Asset Owner Alliance (NZAOA),Net-Zero Export Credit Agencies Alliance (NZECA),Paris Aligned Asset Owners (PAAO),Planet Mark,Pledge to Net Zero,Race to Zero for Universities and Colleges,SBTi,Scotch Whisky Association (SWA),SME Climate Hub,Sports for Climate Action Framework,Tech Zero,The Exchange Group - Net Zero Financial Services Providers Alliance Exchange Group (NZFSPA),Under 2 Coalition,Venture Climate Alliance (VCA)
Macquarie Financial Group,macquarie financial,macquarie financial,GCAP25176,https://www.macquarie.com/,,Australia,Western European and Others Group (WEOG),,,Financial Institution,,"£186,696,000,000.00",18/10/2021,,Own Website,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,
Market Accents,market accents,market accents,GCAP30221,http://marketaccents.com/marketaccents,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,18/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
National Taiwan University,national taiwan university,national taiwan university,GCAP30320,https://www.ntu.edu.tw/english/,,,,,,Higher Education,,,18/10/2021,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
Omicron Research Limited,omicron research,omicron research,GCAP30392,http://www.omicron-uk.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,"Biotech, health care & pharma",,18/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Purple Crane Ltd,purple crane,purple crane,GCAP30529,http://www.purplecrane.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,18/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Retain limited,retain,retain,GCAP30591,http://www.retainenergy.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Power generation,,18/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Spectaculor brand,spectaculor brand,spectaculor brand,GCAP30734,,,Sweden,Western European and Others Group (WEOG),,,SME,Other,,18/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
The Puppet Company,the puppet,puppet,GCAP30882,http://www.thepuppetcompany.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,18/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
The University of Tokyo,the university of tokyo,university tokyo,GCAP25274,https://www.u-tokyo.ac.jp/en/index.html,,Japan,Asia-Pacific Group,,,Higher Education,,,18/10/2021,Own Website,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
The Westminster Gazette Limited,the westminster gazette,westminster gazette,GCAP30900,https://www.thewestminstergazette.com/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,18/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
TIAA LIMITED,tiaa,tiaa,GCAP30914,https://www.tiaa.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,18/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Tiree Community Development Trust,tiree community development,tiree development,GCAP30924,http://tireetrust.org.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,18/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
UniCredit,unicredit,unicredit,,http://www.unicreditgroup.eu/,,Italy,Western European and Others Group (WEOG),,,Financial Institution,,$850.46 billion,18/10/2021,Own Website,Own Website,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
University of Warsaw,university of warsaw,university warsaw,GCAP25275,https://www.uw.edu.pl/,,Poland,Eastern European Group,,,Higher Education,,,18/10/2021,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
York Gin Company Limited,york gin,york gin,GCAP31123,http://yorkgin.com%20/%20twitter.com/yorkgin%20/%20facebook.com/yorkgin,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,18/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Zeroverse,zeroverse,zeroverse,GCAP31138,https://zeroverse.org%20and%20@zeroverse_kate,,Japan,Asia-Pacific Group,,,SME,Services,,18/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
RT Knits Ltd,rt knits,rt knits,GCAP17927,https://rtknits.com/sustainability/,,Mauritius,African Group,,,Company,Apparel,,18/10/2019,CDP,,,,,,,,,Yes,,,,,,,,,,,,,,Yes,,,,,,,
Qassim University,qassim university,qassim university,,https://www.qu.edu.sa/,,Saudi Arabia,Asia-Pacific Group,,,Higher Education,,,18/09/2023,Did not - joined less than 12 months ago,,,,Oct-24,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
1 Sustainable Ltd,1 sustainable,1 sustainable,,https://1sustainable.com/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,18/09/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Hammer Senegal,hammer senegal,hammer senegal,,http://www.hammergp.com,,Senegal,African Group,,,SME,Infrastructure,,18/09/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
MIRÉN,mirén,mirén,,https://www.mirenparis.com,,France,Western European and Others Group (WEOG),,,SME,Apparel,,18/09/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Mansoura University,mansoura university,mansoura university,GCAP24872,https://www.mans.edu.eg/en,,Egypt,African Group,,,Higher Education,,,18/09/2021,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
PrimaBerry,primaberry,primaberry,GCAP24563,http://Www.primaberry.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Retail,,18/09/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Sharemybreak,sharemybreak,sharemybreak,GCAP24587,http://www.sharemybreak.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,18/09/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
YOUKEY LIMITED,youkey,youkey,GCAP24575,http://www.youkey.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,18/09/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Bayer AG,bayer,bayer,GCAP360,bayer-agri.fr,549300J4U55H3WP1XT59,Germany,Western European and Others Group (WEOG),,,Company,"Biotech, health care & pharma",,18/09/2020,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
BT,bt,bt,GCAP321,https://www.bt.com/,,United Kingdom,Western European and Others Group (WEOG),,,Company,Services,,18/09/2020,Own Website,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,
Bzzt AB,bzzt,bzzt,GCAP19773,https://www.bzzt.se/,,Sweden,Western European and Others Group (WEOG),,,SME,Transportation services,,18/09/2020,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Crystal International Group,crystal,crystal,GCAP19903,https://www.crystalgroup.com/sustainability,,China,Asia-Pacific Group,,,Company,Apparel,,18/09/2020,CDP,,,,,,,,,Yes,,,,,,,,,,,,,,Yes,,,,,,,
Dalberg Advisors,dalberg advisors,dalberg advisors,GCAP18821,http://www.dalberg.com,,Kenya,African Group,,,SME,Services,,18/09/2020,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
new loop,new loop,new loop,GCAP19895,http://www.thenewloop.com,,Denmark,Western European and Others Group (WEOG),,,SME,Other,,18/09/2020,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
International Dart Federation,dart federation,dart federation,,https://www.federdarts.org/,,Switzerland,Western European and Others Group (WEOG),,<250M,Company,Sports,,18/08/2023,,,,,Nov-24,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
Anthesis Group,anthesis,anthesis,GCAP21702,anthesisgroup.com,,United Kingdom,Western European and Others Group (WEOG),,,Company,Services,,18/08/2022,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Bodes In Action Engendering Contemporary Dance C.I.C.,bodes in action engendering contemporary dance cic,bodes engendering contemporary dance,GCAP33396,http://bodiesinaction.org,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,18/08/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Brytr,brytr,brytr,GCAP33548,http://www.brytr.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,18/08/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Campbell Transport,campbell transport,campbell transport,GCAP33511,http://www.campbelltransport.net.au,,Australia,Western European and Others Group (WEOG),,,SME,Transportation services,,18/08/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Digital Storytellers,digital storytellers,digital storytellers,GCAP17666,https://www.digitalstorytellers.com.au/,,Australia,Western European and Others Group (WEOG),,,SME,Services,,18/08/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Flender International GmbH,flender,flender,GCAP33238,https://www.flender.com/de/,529900TJ6NYOFABGF758,Germany,Western European and Others Group (WEOG),,,Company,Manufacturing,,18/08/2022,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Gripsure Ltd,gripsure,gripsure,,www.gripsure.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,Company,Manufacturing,,18/08/2022,Did not - support needed,,,,Mar-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Hellenic Basketball Federation,hellenic basketball federation,hellenic basketball federation,,www.basket.gr,,Greece,Western European and Others Group (WEOG),,,Other,,,18/08/2022,Other,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
Luminor Bank AS,luminor bank,luminor,GCAP33263,https://luminor.ee/,213800JD2L89GGG7LF07,Estonia,Eastern European Group,,,Financial Institution,,,18/08/2022,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Platcorp Holdings Limited,platcorp,platcorp,GCAP33189,www.platcorpgroup.com,,Kenya,African Group,,,Financial Institution,,,18/08/2022,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
rcg GmbH,rcg,rcg,GCAP33408,http://www.rcg-telco.com,,Germany,Western European and Others Group (WEOG),,,SME,Infrastructure,,18/08/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
ReUp,reup,reup,GCAP33438,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,18/08/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Signal Agency Ltd,signal agency,signal agency,,https://www.signal.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,18/08/2022,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
UK Sport,uk sport,sport,,www.uksport.gov.uk,,United Kingdom,Western European and Others Group (WEOG),,,Company,No sector specified,,18/08/2022,Other,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
Verdecon,verdecon,verdecon,GCAP19544,http://www.verdecon.com.au,,Australia,Western European and Others Group (WEOG),,,SME,Infrastructure,,18/08/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Anient Ltd,anient,anient,GCAP23470,http://www.anient.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,18/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Beacon Growth Consulting,beacon growth consulting,beacon growth consulting,GCAP23460,http://Www.beacongrowthconsulting.com,,United States of America,Western European and Others Group (WEOG),,,SME,Services,,18/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Booz Allen Hamilton Holding Corporation,booz allen hamilton,booz allen hamilton,GCAP405,https://www.boozallen.com/,529900JPV47PIUWMA015,United States of America,Western European and Others Group (WEOG),,,Company,Services,,18/08/2021,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
COLAS Ltd,colas,colas,GCAP22163,https://www.colas.co.uk/,2138002EOZ35VO4XSU29,United Kingdom,Western European and Others Group (WEOG),,,Company,Infrastructure,,18/08/2021,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Dead Simple Accounting,dead simple accounting,dead accounting,GCAP23463,https://www.deadsimpleaccounting.co.uk/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,18/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Dürr AG,dürr,dürr,GCAP22172,https://www.durr.com/en/,5299003APZ54EDTSRO20,Germany,Western European and Others Group (WEOG),,,Company,Infrastructure,,18/08/2021,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Eaton,eaton,eaton,,eaton.com,549300VDIGTMXUNT7H71,Ireland,Western European and Others Group (WEOG),,,Company,Manufacturing,,18/08/2021,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Envair Technology,envair technology,envair technology,GCAP23468,https://envairtechnology.com/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Manufacturing,,18/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Hampshire Orthotics Ltd,hampshire orthotics,hampshire orthotics,GCAP23461,http://www.hampshire-orthotics.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,18/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Jambi,jambi,jambi,GCAP4321,,,Indonesia,Asia-Pacific Group,,,City,,,18/08/2021,CDP-ICLEI Track,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,
JNRP Enterprise Co. Ltd T/A Pallet LOOP,jnrp t/a pallet loop,jnrp t/a pallet loop,GCAP23466,http://www.thepalletloop.com/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Transportation services,,18/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
KARMA Foundation,karma,karma,GCAP23462,,,India,Asia-Pacific Group,,,SME,Other,,18/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
MITCON Consultancy & Engineering Services Limited,mitcon consultancy engineering services,mitcon consultancy engineering services,GCAP22211,mitconindia.com,335800TDQKGRZESIQ223,India,Asia-Pacific Group,,,SME,Services,,18/08/2021,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
ODoherty.Biz Limited,odohertybiz,odoherty.biz,GCAP23465,http://www.odoherty.biz,,Ireland,Western European and Others Group (WEOG),,,SME,Services,,18/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
OYA Energy UK,oya energy uk,oya energy,GCAP23469,https://www.oyaenergyuk.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Power generation,,18/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Smash Marketing Limited,smash marketing,smash marketing,GCAP23472,http://www.smashmarketing.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,18/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Technica Systems Ltd,technica systems,technica systems,GCAP23464,http://www.technica.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Infrastructure,,18/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
TG Escapes,tg escapes,tg escapes,GCAP23471,http://www.tgescapes.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Infrastructure,,18/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
The Lake District Umbrella Company,the lake district umbrella,lake umbrella,GCAP23467,http://www.thelakedistrictumbrellacompany.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Retail,,18/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
TIER Mobility SE,tier mobility,tier mobility,,,,Germany,Western European and Others Group (WEOG),,,Company,Transportation services,,18/08/2021,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
DLA Piper International,dla piper,piper,GCAP19540,https://www.dlapiper.com/en/uk/,,United Kingdom,Western European and Others Group (WEOG),,,Company,Services,,18/08/2020,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Bhiwandi Nizampur,bhiwandi nizampur,bhiwandi nizampur,GCAP24146,,,India,Asia-Pacific Group,,,City,,,18/07/2022,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,
ESG Partners,esg partners,esg partners,GCAP33525,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,18/07/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
ETS Sales & Hire Ltd,ets sales hire,ets sales hire,,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,18/07/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
La Maison Couture,la maison couture,maison couture,GCAP33542,http://www.lamaisoncouture.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Retail,,18/07/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
METROPALLETS S.A.S,metropallets,metropallets,,http://www.metropallets.com.ar,,Argentina,Latin American and Caribbean Group (GRULAC),,,SME,Manufacturing,,18/07/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
MUD Jeans,mud jeans,mud jeans,GCAP18732,https://mudjeans.eu/,,Netherlands,Western European and Others Group (WEOG),,,SME,Retail,,18/07/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Rosario bio energy,rosario bio energy,rosario bio energy,GCAP17645,http://www.rosariobioenergysa.com,,Argentina,Latin American and Caribbean Group (GRULAC),,,SME,"Food, beverage & agriculture",,18/07/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
soulproducts GmbH,soulproducts,soulproducts,GCAP17888,https://www.soulbottles.de/,,Germany,Western European and Others Group (WEOG),,,SME,Manufacturing,,18/07/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Glitz & Glamour,glitz glamour,glitz glamour,,http://glitz8glamour.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Retail,,18/07/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Sugar rush Swindon ltd,sugar rush swindon,sugar rush swindon,GCAP23180,http://Swindonbakery.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,"Food, beverage & agriculture",,18/07/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
G-Star RAW C.V.,g-star raw,g-star raw,GCAP17947,https://www.g-star.com/en_nl/raw-responsibility-sustainability,,Netherlands,Western European and Others Group (WEOG),,,Company,Apparel,,18/07/2019,CDP,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,
Singapore Telecommunications Limited (Singtel),telecommunications singtel,telecommunications singtel,,,2549003XJKIQO8YDYD89,Singapore,Asia-Pacific Group,,,Company,Services,,18/07/2019,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Inmed Enterprise Ltd,inmed,inmed,GCAP32934,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,18/06/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Segura Cerrajería y Ferretería,segura cerrajería y ferretería,segura cerrajería ferretería,,https://www.ferresegura.com.co,,Colombia,Latin American and Caribbean Group (GRULAC),,,SME,Infrastructure,,18/06/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Achill Management Southern Ltd,achill management southern,achill management southern,GCAP22925,http://www.achillmanagement.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,18/06/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Cucumber Operating Systems Ltd.,cucumber operating systems,cucumber operating systems,GCAP22919,http://www.CucumberOS.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,18/06/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Event Concept Ltd,event concept,event concept,GCAP22920,http://www.eventconcept.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,18/06/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Green Biofuels,green biofuels,green biofuels,GCAP22923,https://www.gbf.ltd/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Power generation,,18/06/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Mannion Daniels Ltd,mannion daniels,mannion daniels,GCAP22921,http://www.manniondaniels.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,18/06/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
