Name,Name clean,GCAP ID,Website,LEI (if applicable),Country of HQ,UN Region,Parent company (if applicable),Annual Revenue in USD (if applicable),Type,Sector (if applicable),Assets Under Mgt. (if financial institution),Join Date (DD/MM/YYYY),Where did they publish in 2022?,Where did they publish in 2023?,Partner comment,Partner comment (Sep-24),Update round,Business Declares,Cities Race to Zero,Climate Action Accelerator,Exponential Roadmap Iniative,Fashion Industry Charter for Climate Action,Health Care without Harm,International Wineries for Climate Action (IWCA),Japan Climate Initiative (JCI),National Parks UK,Net Zero Asset Managers Initiative,Net Zero Banking Alliance,Net Zero Investment Consultants (NZIC),Net-Zero Asset Owner Alliance (NZAOA),Net-Zero Export Credit Agencies Alliance (NZECA),Paris Aligned Asset Owners (PAAO),Planet Mark,Pledge to Net Zero,Race to Zero for Universities and Colleges,SBTi,Scotch Whisky Association (SWA),SME Climate Hub,Sports for Climate Action Framework,Tech Zero,The Exchange Group - Net Zero Financial Services Providers Alliance Exchange Group (NZFSPA),Under 2 Coalition,Venture Climate Alliance (VCA),Partners
Canada Games Council,canada games council,,https://www.canadagames.ca/,,Canada,Western European and Others Group (WEOG),,,Other,,,12/05/2019,Other,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,Sports for Climate Action Framework
Canada Goose,canada goose,,canadagoose.com,5493005JT54IX5MZ9P52,Canada,Western European and Others Group (WEOG),,,Company,Apparel,,01/05/2023,,,,,Mar-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Canada Post | Postes Canada,canada post | postes canada,,https://www.canadapost-postescanada.ca/cpc/en/home.page,549300O6E8FEF6XJHA57,Canada,Western European and Others Group (WEOG),,,Company,Transportation services,,01/01/2023,CDP,,,,Mar-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Cañada Rosquín,canada rosquin,GCAP20529,,,Argentina,Latin American and Caribbean Group (GRULAC),,,City,,,-,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Cities Race to Zero
Canadian Olympic Committee,canadian olympic committee,,www.olympic.ca,,Canada,Western European and Others Group (WEOG),,<250M,Other,Sports,,,,,,,Nov-23,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,Sports for Climate Action Framework
Canadian Solar Inc.,canadian solar,,www.canadiansolar.com,5493001XSC6TKMBVOM15,Canada,Western European and Others Group (WEOG),,,Company,Electrical Equipment and Machinery,,20/07/2023,,,Net-zero commitment,,Oct-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Canberra,canberra,GCAP4038,,,Australia,Western European and Others Group (WEOG),,,City,,,29/09/2021,CDP-ICLEI Track,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Cities Race to Zero
Cancer Research UK Trading Limited,cancer research trading,GCAP33105,"https://www.cancerresearchuk.org/get-involved/ways-to-shop
https://shop.cancerresearchuk.org/?utm_source=cruk_footer",,United Kingdom,Western European and Others Group (WEOG),,,Company,Retail,,16/06/2022,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Candeias,candeias,GCAP24155,,,Brazil,Latin American and Caribbean Group (GRULAC),,,City,,,23/09/2021,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Cities Race to Zero
CANDRIAM,candriam,GCAP15085,https://www.candriam.com/en/professional/,,Luxembourg,Western European and Others Group (WEOG),,,Financial Institution,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,Net Zero Asset Managers Initiative
Canelli,canelli,GCAP21071,,,Italy,Western European and Others Group (WEOG),,,City,,,-,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Cities Race to Zero
