GCAP ID,Name,Name clean,Website,"LEI 
(if applicable)",Country of HQ,UN Region,"Parent company 
(if applicable)","Annual Revenue in USD 
(if applicable)",Type,"Sector 
(if applicable)","Assets Under Mgt. 
(if financial institution)",Join Date (DD/MM/YYYY),Where did they publish in 2022?,Partner comment,Update round,On Data Explorer?,IWCA,Business Declares ,Fashion Charter,Health Care Without Harm,Net Zero Banking Alliance,Venture Climate Alliance,Paris Alligned Asset Owners,Planet Mark,Pledge to Net Zero,Sports for Climate Action Framework,Tech Zero,UN Convened Net-Zero Asset Owner Alliance,JCI RTZ Circle,Cities Race to Zero,Net Zero Asset Managers Initiative,Under 2 Coalition,Climate Action Accelerator,SBTi,Global Universities & Colleges,Exponential Roadmap Initiative,Scotch Whiskey Association,SME Climate Hub,Net Zero Investment Consultants Initiative,Net Zero Exchanges Group,(NZFSPA)Net Zero Financial Service Providers Alliance - Exchange Group,Net Zero Export Credit Agencies Alliance
,Mealzo,mealzo,http://mealzo.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Information technology (IT) software and computer related activities,,12/04/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP20799,Measurable Ltd.,measurable,https://www.measurable.energy,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,05/03/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP18161,Measure Meant,measure meant,http://www.measurepnw.com,,United States of America,Western European and Others Group (WEOG),,,SME,Services,,13/07/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP24837,measureable.energy,measureableenergy,https://measurable.energy,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,10/01/2021,Did not - support needed,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
,MEC Mountain Equipment Company,mec mountain equipment,https://www.mec.ca/en,,Canada,Western European and Others Group (WEOG),,,Company,Retail,,26/01/2023,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
GCAP20800,Meckon,meckon,http://www.meckon.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,26/02/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Mecwash Systems Ltd,mecwash systems,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other manufacturing,,26/06/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP30245,Med Clean South,med clean south,http://www.medcleansouth.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,03/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP33181,Médecins sans Frontières (Operational Centre Brussels),médecins sans frontières (operational centre brussels),https://www.msf-azg.be/fr,,Belgium,Western European and Others Group (WEOG),,,Healthcare,"Biotech, health care & pharma",,26/04/2022,Other,Roadmap under construction / Scheduled for Q3 2023,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,
GCAP30246,Médecins sans Frontières (Operational Centre Geneva),médecins sans frontières (operational centre geneva),https://www.msf.ch/,,Switzerland,Western European and Others Group (WEOG),,,Healthcare,"Biotech, health care & pharma",,05/10/2021,Own Website,Roadmap published in October 2022,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,
GCAP30247,Médecins sans Frontières (Operational Centre Paris),frontières (operational paris),https://www.msf.fr/,,France,Western European and Others Group (WEOG),,,Healthcare,"Biotech, health care & pharma",,23/12/2021,Other,Roadmap under construction / Scheduled for Q2 2023,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,
GCAP12976,Medellín,medellín,,,Colombia,Latin American and Caribbean Group (GRULAC),,,City,n/a,,-,CDP-ICLEI Track,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
GCAP4705,"Medford, MA",medford ma,,,United States of America,Western European and Others Group (WEOG),,,City,n/a,,09/02/2021,CDP-ICLEI Track,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
GCAP18486,"Medford, OR",medford,,,United States of America,Western European and Others Group (WEOG),,,City,n/a,,-,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
,Media 1 Productions,media 1 productions,http://www.media1productions.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,10/01/2023,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP24507,Media Bounty,media bounty,http://www.mediabounty.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,06/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP25004,Mediahuis,mediahuis,mediahuis.be,549300EOO1LP5L8JNN93,Belgium,Western European and Others Group (WEOG),,,Company,Other,,10/05/2021,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Mediaset España Comunicación S.A.,mediaset españa comunicación,,,Spain,Western European and Others Group (WEOG),,,Company,Other,,11/10/2022,CDP,,Mar-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Medical Industry Ltd,medical industry,https://www.medicalindustry.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,16/02/2023,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP24933,Medical University of South Carolina,medical university of south carolina,musc.edu,,United States of America,Western European and Others Group (WEOG),,,Higher Education,n/a,,12/10/2021,Second Nature,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
GCAP30248,Medico Digital,medico digital,https://www.medicodigital.co.uk/,,United Kingdom,Western European and Others Group (WEOG),,,SME,"Biotech, health care & pharma",,02/03/2022,Did not - support needed,,,,,,,,,,,,,,Yes,,,,,,,,,,,Yes,,,,
GCAP21747,Medigold Health,medigold health,http://www.medigold-health.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,15/08/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP30249,Mediobanca,mediobanca,https://www.mediobanca.com/static/upload_new/tcf/tcfd_en-22.pdf,,Italy,Western European and Others Group (WEOG),,,Financial Institution,n/a,95200000000,16/11/2021,Own Website,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,
GCAP30250,Medipass Healthcare Ltd,medipass healthcare,http://www.medipasshealthcare.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,02/11/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Mediterranean Energy Partners,mediterranean energy partners,https://medenergypartners.com/ ,,Egypt,African Group,,,Company,Power generation,,10/11/2022,Did not - joined less than 12 months ago,,Mar-23,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,
GCAP32914,Medlock Ames,medlock ames,https://www.medlockames.com/,,United States of America,Western European and Others Group (WEOG),,,Company,"Food, beverage & agriculture",,06/07/2022,IWCA Annual Report,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
,medmix Group AG,medmix,https://www.medmix.swiss/,529900PL4KLKJVMULW74,Switzerland,Western European and Others Group (WEOG),,,Company,Manufacturing,,01/05/2023,CDP,,Mar-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Medtronic PLC,medtronic,https://www.medtronic.com/us-en/index.html,,Ireland,Western European and Others Group (WEOG),,,Company,Healthcare Equipment and Supplies,,16/3/2023,,Net-Zero Commitment,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
GCAP30251,Meercat Associates Ltd,meercat associates,http://www.meercatassociates.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,25/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP33416,Meetini Limited,meetini,https://www.meetini.co.uk/,,United Kingdom,Western European and Others Group (WEOG),,,SME,"Food, beverage & agriculture",,24/07/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,"Meg Haywood Sullivan, INC",meg haywood sullivan,https://www.meghaywoodsullivan.com/,,United States of America,Western European and Others Group (WEOG),,,SME,Services,,30/08/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP23306,Megatronics,megatronics,http://www.megatronics.com.br,,Brazil,Latin American and Caribbean Group (GRULAC),,,SME,Services,,03/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP18914,Mehran University of Engineering & Technology,mehran university of engineering technology,http://muet.edu.pk/,,Pakistan,Asia-Pacific Group,,,Higher Education,n/a,,19/11/2020,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
,Meijer&Co Kft.,meijer&co,http://www.meijerandco.com,,Hungary,Eastern European Group,,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,12/06/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP1758,"Meiji Holdings Co., Ltd.",meiji,https://www.meiji.com/global/,,Japan,Asia-Pacific Group,,,Company,No sector specified ,,7/72021,CDP,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,
,"Meiji Yasuda Asset Management Co., Ltd.",meiji yasuda asset management,,,Japan,Asia-Pacific Group,,,Financial Institution,,24300000000,02/05/2023,,,Jul-23,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,
GCAP25119,Meiji Yasuda Life Insurance Company,meiji yasuda life insurance,https://www.meijiyasuda.co.jp/english/,,Japan,Asia-Pacific Group,,,Financial Institution,n/a,,20/10/2021,Did not - joined less than 12 months ago,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,
GCAP30252,Meinhardt Group International Limited,meinhardt,meinhardtgroup.com,254900VFBTVTVW1KNH88,Singapore,Asia-Pacific Group,,,Company,Services,,13/01/2022,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,MEKO AB,meko,www.meko.com,,Sweden,Western European and Others Group (WEOG),,,Company,Retail,,02/09/2023,,,Mar-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
GCAP24235,Melaka,melaka,,,Malaysia,Asia-Pacific Group,,,City,n/a,,-,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
,Melanin Kapital,melanin kapital,http://melaninkapital.com,,Kenya,African Group,,,SME,Financial actor not insurance and pension,,26/04/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP21219,Melatar Abodes Ltd,melatar abodes,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,27/04/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP4042,Melbourne,melbourne,,,Australia,Western European and Others Group (WEOG),,,City,n/a,,-,CDP-ICLEI Track,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
,HERO Südtirol Dolomites,hero südtirol dolomites,www.herodolomites.com,,Italy,Western European and Others Group (WEOG),,,Other,n/a,,03/11/2022,Other,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
,Melhuish and Saunders,melhuish saunders,https://www.melhuishandsaundersltd.com/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Construction and civil engineering,,04/04/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP1760,Melia Hotels International SA,melia hotels,https://www.meliahotelsinternational.com/es,959800JRKSZ6YZD4EL80,Spain,Western European and Others Group (WEOG),,,Company,Hospitality,,25/05/2021,CDP,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
GCAP23191,Melius Homes,melius homes,http://www.meliushomes.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Infrastructure,,20/07/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP22583,"Melrose, MA",melrose ma,,,United States of America,Western European and Others Group (WEOG),,,City,n/a,,26/07/2021,CDP-ICLEI Track,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
GCAP30254,Melvich Co Ltd,melvich,http://www.melvichco.com,,Mauritius,African Group,,,SME,Other,,20/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Memorial University of Newfoundland,memorial university newfoundland,https://www.mun.ca,,Canada,Western European and Others Group (WEOG),,,Higher Education,n/a,,19/11/2020,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
GCAP14235,Mena,mena,,,Ukraine,Eastern European Group,,,City,n/a,,-,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
,Menara Construcciones S.A,menara construcciones,http://www.menara.com.ar,,Argentina,Latin American and Caribbean Group (GRULAC),,,SME,Construction and civil engineering,,13/06/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP4812,Mendiolaza,mendiolaza,,,Argentina,Latin American and Caribbean Group (GRULAC),,,City,n/a,,-,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
GCAP3999,Mendoza Capital,mendoza capital,,,Argentina,Latin American and Caribbean Group (GRULAC),,,City,n/a,,-,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
GCAP24236,Mendoza Province,mendoza province,,,Argentina,Latin American and Caribbean Group (GRULAC),,,State or Region,n/a,,-,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
GCAP33584,"Menlo Park, CA",menlo park ca,,,United States of America,Western European and Others Group (WEOG),,,City,n/a,,08/02/2022,CDP-ICLEI Track,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
,Mentimeter AB (publ),mentimeter,https://www.mentimeter.com/,,Sweden,Western European and Others Group (WEOG),,,SME,Software and Services,,22/6/2023,,Targets set,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Menzies Distribution Ltd.,menzies distribution,www.menziesdistribution.com,,United Kingdom,Western European and Others Group (WEOG),,,Company,Transportation services,,29/09/2022,CDP,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Menzolit Compounding Solutions,menzolit compounding solutions,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other manufacturing,,30/03/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP23038,Meon Valley Butchers,meon valley butchers,https://www.meonvalleybutchers.co.uk/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Retail,,01/07/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP20801,MEP Technologies Ltd,mep technologies,http://www.meptec.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Power generation,,26/02/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP23030,MER PROFESSIONAL LTD,mer professional,http://www.merprofessionalltd.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,01/07/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Mercadona,mercadona,mercadona.es,959800G1STVUPYU6NU22,Spain,Western European and Others Group (WEOG),,,Company,Retail,,26/01/2023,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Mercator IT Solutions Ltd,mercator it solutions,www.mercatordigital.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Software and Services,,4/5/2023,,Targets set,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
GCAP21266,Mercer International,mercer,mercerint.com,549300Z5IAG39VRTY874,Canada,Western European and Others Group (WEOG),,,Company,Manufacturing,,21/04/2021,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,"Merck & Co., Inc., Rahway, NJ USA, which is known as MSD outside the U.S. and Canada",merck rahway nj usa which is known as msd outside the us canada,https://www.merck.com/,4YV9Y5M8S0BRK1RP0397,United States of America,Western European and Others Group (WEOG),,,Company,"Pharmaceuticals, Biotechnology and Life",,16/3/2023,,Net-Zero Commitment,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Mercuri Technologies,mercuri technologies,https://www.mercuricloud.com,,United States of America,Western European and Others Group (WEOG),,,SME,Other,,13/02/2023,Did not - joined less than 12 months ago,,Mar-23,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
GCAP19132,Mercyhurst University,mercyhurst university,,,United States of America,Western European and Others Group (WEOG),,,Higher Education,n/a,,19/11/2020,Second Nature,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
GCAP4410,Mérida,mérida,,,Mexico,Latin American and Caribbean Group (GRULAC),,,City,n/a,,-,CDP-ICLEI Track,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
GCAP16211,Meridiam,meridiam,https://www.meridiam.com/,,France,Western European and Others Group (WEOG),,,Financial Institution,n/a,,6th July 2021,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,
,Meridian Energy,meridian energy,meridianenergy.co.nz,254900IFKXIGNCY3A092,New Zealand,Western European and Others Group (WEOG),,,Company,Power generation,,31/03/2022,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Meridian Exports,meridian exports,,,India,Asia-Pacific Group,,,SME,Leather products manufacturing,,17/06/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Meridian Leicester Limited,meridian leicester,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,06/07/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,MERINO INDUSTRIES LTD.,merino industries,merinoindia.com,335800GTEDVUBW1HW640,India,Asia-Pacific Group,,,Company,Manufacturing,,01/05/2023,,,Mar-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
GCAP22380,Merkur Andelskasse,merkur andelskasse,merkur.dk,549300YV6LXRPJO3U576,Denmark,Western European and Others Group (WEOG),,,Financial Institution,n/a,,01/06/2022,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,"MERLIN Properties SOCIMI, SA",merlin properties socimi,https://www.merlinproperties.com/,,Spain,Western European and Others Group (WEOG),,,SME,Other,,02/02/2023,CDP,,Mar-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
GCAP24565,Mermade Crafts,mermade crafts,http://www.instagram.com/mermadecrafts,,United Kingdom,Western European and Others Group (WEOG),,,SME,Retail,,13/09/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP23283,Mersen Scotland Holytown,mersen scotland holytown,http://www.mersen.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Manufacturing,,02/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Mersey Youth Support Trust,mersey youth support,https://mymyst.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,06/07/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP21089,Mersin,mersin,,,Turkey,Western European and Others Group (WEOG),,,City,n/a,,-,CDP-ICLEI Track,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
GCAP22781,Meryl Medical,meryl medical,http://www.merylmedical.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Manufacturing,,02/06/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,MES Systems Ltd,mes systems,http://www.mes-systems.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Information technology (IT) software and computer related activities,,26/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP30256,Mesa,mesa,,,United States of America,Western European and Others Group (WEOG),,,City,n/a,,19/10/2021,CDP-ICLEI Track,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
GCAP19133,Mesa Community College,mesa community college,,,United States of America,Western European and Others Group (WEOG),,,Higher Education,n/a,,19/11/2020,Second Nature,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
GCAP33167,Mesa de Colaboración Metropolitana del Área Metropolitana de Monterrey Nuevo León,mesa colaboración metropolitana área metropolitana monterrey nuevo león,,,Mexico,Latin American and Caribbean Group (GRULAC),,,City,n/a,,06/10/2022,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
GCAP19134,Messiah College,messiah college,,,United States of America,Western European and Others Group (WEOG),,,Higher Education,n/a,,19/11/2020,Second Nature,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
GCAP24467,META Consulting Engineers,meta consulting engineers,http://www.metaconsult.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,06/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP31446,Meta Mission Data,meta mission data,https://meta.aero/mmd/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,07/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP20802,Metabolic,metabolic,http://www.metabolic.nl,,Netherlands,Western European and Others Group (WEOG),,,SME,Other,,05/03/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP31497,Metafour UK Ltd,metafour uk,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,16/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP30257,Metal Cladding and Roofing Manufacturers Association Ltd (MCRMA),metal cladding roofing manufacturers (mcrma),http://www.mcrma.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,28/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP30258,Metalfrio Solutions S.A.,metalfrio solutions,https://refrigeradoresmetalfrio.com/,,Brazil,Latin American and Caribbean Group (GRULAC),,,Company,Manufacturing,,28/10/2021,CDP,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Metallbau GmbH,metallbau,,,Austria,Western European and Others Group (WEOG),,,SME,Manufacturing,,16/12/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP30259,Metalsa S.A.P.I. de C.V.,metalsa,https://www.metalsa.com/,549300F2FONGJR575V67,Mexico,Latin American and Caribbean Group (GRULAC),,,Company,Manufacturing,,03/10/2022,CDP,,Mar-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,METALTORK INDUSTRIA E COMERCIO DE AUTO PEÇAS LTDA.,metaltork industria e comercio auto peças,http://www.metaltork.com.br,,Brazil,Latin American and Caribbean Group (GRULAC),,,SME,Metal products manufacturing,,16/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP21410,Metamorphosis,metamorphosis,https://www.consulting-metamorphosis.com/,,Belgium,Western European and Others Group (WEOG),,,SME,Services,,23/06/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP24478,Metanoia LDN LTD,metanoia ldn,http://Www.metanoialondon.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,07/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Meteoclima Soluciones,meteoclima soluciones,,,Mexico,Latin American and Caribbean Group (GRULAC),,,SME,Services,,10/11/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP24473,Meteor Inkjet Ltd,meteor inkjet,http://www.meteorinkjet.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Infrastructure,,23/09/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,MeterCorp,metercorp,,,Germany,Western European and Others Group (WEOG),,,SME,Leather products manufacturing,,07/03/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP21749,Method Recycling,method recycling,http://www.methodrecycling.com,,New Zealand,Western European and Others Group (WEOG),,,SME,Manufacturing,,16/08/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP18162,Metis Consulting Group,metis consulting,https://www.metisconsultinggroup.com/,,United States of America,Western European and Others Group (WEOG),,,SME,Services,,30/06/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP23079,Metlab Supplies Limited,metlab supplies,http://Under%20construction,,United Kingdom,Western European and Others Group (WEOG),,,SME,"Biotech, health care & pharma",,06/07/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP30260,Metric Services (Leicester) Ltd,metric services (leicester),http://www.metricservices.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,02/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP25228,Metrics Credit Partners,metrics credit partners,https://metrics.com.au/,,Australia,Western European and Others Group (WEOG),,,Financial Institution,n/a,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,
GCAP23626,Metrikus,metrikus,http://www.metrikus.io,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,09/01/2021,Own Website,,,,,,,,,,,,,,Yes,,,,,,,,,,,Yes,,,,
GCAP31594,Metro Vancouver,metro vancouver,,,Canada,Western European and Others Group (WEOG),,,City,n/a,,11/09/2021,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
GCAP25055,Metrolina Greenhouses Inc,metrolina greenhouses,https://www.metrolinagreenhouses.com/,254900Q9EO9YBGUP9Q65,United States of America,Western European and Others Group (WEOG),,,Company,"Food, beverage & agriculture",,15/09/2021,CDP,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,METROPALLETS S.A.S,metropallets,http://www.metropallets.com.ar,,Argentina,Latin American and Caribbean Group (GRULAC),,,SME,Manufacturing,,18/07/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP22604,Métropole Aix Marseille Provence,aix marseille provence,,,France,Western European and Others Group (WEOG),,,City,n/a,,-,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
GCAP4199,Metropolitan Regional Government of Santiago,metropolitan regional government of santiago,,,Chile,Latin American and Caribbean Group (GRULAC),,,City,n/a,,-,CDP-ICLEI Track,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
,Metsä Board Corporation,metsä board,https://www.metsagroup.com/metsaboard/,743700KKB8Q035K38488,Finland,Western European and Others Group (WEOG),,,Company,Manufacturing,,16/11/2020,CDP,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Metsa Ltd,metsa,,,United Kingdom,Western European and Others Group (WEOG),,,SME,"Food, beverage & agriculture",,31/01/2023,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP24838,Metta,metta,https://metta.partners/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,10/01/2021,Own Website,,,,,,,,,,,,,,Yes,,,,,,,,,,,Yes,,,,
GCAP1773,Mettler-Toledo International Inc.,mettler-toledo,www.mt.com,5493000BD5GJNUDIUG10,Switzerland,Western European and Others Group (WEOG),,,Company,Manufacturing,,16/12/2021,CDP,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
GCAP5855,Metz,metz,,,France,Western European and Others Group (WEOG),,,City,n/a,,-,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
GCAP25229,Metzler Asset Management,metzler asset management,https://www.metzler.com/en/metzler/asset-management,,Germany,Western European and Others Group (WEOG),,,Financial Institution,n/a,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,
GCAP21167,Mexican Institute of Science Technology and Innovation,mexican institute of science technology and innovation,https://www.mist.com.mx,,Mexico,Latin American and Caribbean Group (GRULAC),,,SME,Other,,15/04/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP3465,Mexico City,mexico city,,,Mexico,Latin American and Caribbean Group (GRULAC),,,City,n/a,,-,CDP-ICLEI Track,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
GCAP30262,Meyers,meyers,https://www.meyers.com/,,United States of America,Western European and Others Group (WEOG),,,SME,Manufacturing,,01/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP25143,MFS Investment Management,mfs management,https://www.mfs.com/,,United States of America,Western European and Others Group (WEOG),,,Financial Institution,n/a,,6th July 2021,CDP,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,
