GCAP ID,Name,Name clean,Website,"LEI 
(if applicable)",Country of HQ,UN Region,"Parent company 
(if applicable)","Annual Revenue in USD 
(if applicable)",Type,"Sector 
(if applicable)","Assets Under Mgt. 
(if financial institution)",Join Date (DD/MM/YYYY),Where did they publish in 2022?,Partner comment,Update round,On Data Explorer?,IWCA,Business Declares ,Fashion Charter,Health Care Without Harm,Net Zero Banking Alliance,Venture Climate Alliance,Paris Alligned Asset Owners,Planet Mark,Pledge to Net Zero,Sports for Climate Action Framework,Tech Zero,UN Convened Net-Zero Asset Owner Alliance,JCI RTZ Circle,Cities Race to Zero,Net Zero Asset Managers Initiative,Under 2 Coalition,Climate Action Accelerator,SBTi,Global Universities & Colleges,Exponential Roadmap Initiative,Scotch Whiskey Association,SME Climate Hub,Net Zero Investment Consultants Initiative,Net Zero Exchanges Group,(NZFSPA)Net Zero Financial Service Providers Alliance - Exchange Group,Net Zero Export Credit Agencies Alliance
,Activision Blizzard,activision blizzard,https://www.activisionblizzard.com/,549300TPQQDBP9GNOF40,United States of America,Western European and Others Group (WEOG),,,Company,Software and Services,,25/5/2023,,Net-Zero Commitment,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Actona Group A/S,actona,https://actonagroup.com/,5299005K2DIV6F8ICE92,Denmark,Western European and Others Group (WEOG),,,Company,"Consumer Durables, Household and Personal Products",,27/4/2023,,Net-Zero Commitment,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Adapptable,adapptable,https://www.linkedin.com/company/adapptable,,Canada,Western European and Others Group (WEOG),,,SME,Information technology (IT) software and computer related activities,,19/06/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Adapt Rich Media Limited,adapt rich media,http://adaptrichmedia.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Creative arts and entertainment activities,,23/03/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,ADB SERVICES INTERNATIONAL,adb services,,,Benin,African Group,,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,06/06/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Addleshaw Goddard,addleshaw goddard,https://www.addleshawgoddard.com,,United Kingdom,Western European and Others Group (WEOG),,,Company,Professional Services,,15/6/2023,,Net-Zero Commitment,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,ADP,adp,www.adp.ro,,Romania,Eastern European Group,,,SME,Professional Services,,13/7/2023,,Targets set,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Advanced Digital Broadcast S.A.,advanced digital broadcast sa,http://www.adbglobal.com,,Switzerland,Western European and Others Group (WEOG),,,SME,Telecommunication,,24/04/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Advanced Media Trading,advanced media trading,http://www.amt.tv,,United Arab Emirates,Asia-Pacific Group,,,SME,Retail and wholesale,,29/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Advantage Market Intelligence,advantage market intelligence,http://www.advantagemi.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,12/06/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Affinity Systems & Development Ltd,affinity systems development,http://www.affinity-sys.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Information technology (IT) software and computer related activities,,12/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Agilico Workplace Technology,agilico workplace technology,http://Www.Agilico.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Information technology (IT) software and computer related activities,,05/04/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Agripino Teodoro Rojas Arellano,agripino teodoro rojas arellano,,,Peru,Latin American and Caribbean Group (GRULAC),,,SME,Other mining and quarrying,,29/06/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,AHCT Limited,ahct,http://www.ahctgroup.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Warehousing and support activities for transportation,,06/03/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Ahréns Åkeri AB,ahréns åkeri,https://ahrens-transport.se/,,Sweden,Western European and Others Group (WEOG),,,SME,Land transport,,15/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Aibel,aibel,https://aibel.com/,,Norway,Western European and Others Group (WEOG),,,Company,Construction and Engineering,,15/6/2023,,Net-Zero Commitment,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Aikya Investment Management,aikya management,,,United Kingdom,Western European and Others Group (WEOG),,,Financial Institution,,745000000,31/03/2023,,,Jul-23,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,
,AIRFAL SL,airfal sl,http://www.airfal.com,,Spain,Western European and Others Group (WEOG),,,SME,Electrical machinery and apparaturs manufacturing,,22/06/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,AJT,ajt,https://www.teamajt.com/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Creative arts and entertainment activities,,24/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,AKJ Technology,akj technology,https://akj-technologya-tech.business.site/?m=true,,India,Asia-Pacific Group,,,SME,Information technology (IT) software and computer related activities,,07/04/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,AklysTransform,aklystransform,,,Netherlands,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,16/03/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,ALANA CONSULTORES COMUNICACIÓN,alana consultores comunicación,http://www.alanaconsultores.com,,Spain,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,25/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
